title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,decade,na_pct,jp_pct,pal_pct,other_pct,sales_tier,,,
Madden NFL 2005,PS2,Sports,EA Sports,9.5,4.53,4.18,0.01,0.26,0.08,2004,2000,92.3,0.2,5.7,1.8,Hit (1ƒ??5M),,,
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,8.7,4.53,3.19,0.01,0.91,0.42,2007,2000,70.4,0.2,20.1,9.3,Hit (1ƒ??5M),,,
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,7.3,4.53,1.7,0.12,1.99,0.73,2017,2010,37.5,2.6,43.9,16.1,Hit (1ƒ??5M),,,
Spider-Man: The Movie,PS2,Action,Activision,8.2,4.48,2.71,0.03,1.51,0.23,2002,2000,60.5,0.7,33.7,5.1,Hit (1ƒ??5M),,,
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,9.2,4.47,2.89,0.13,1.03,0.41,2009,2000,64.7,2.9,23,9.2,Hit (1ƒ??5M),,,
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,9.1,4.41,2.66,0.01,1.29,0.46,2001,2000,60.3,0.2,29.3,10.4,Hit (1ƒ??5M),,,
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,8.8,4.39,0.1,1.05,2.39,0.86,2007,2000,2.3,23.9,54.4,19.6,Hit (1ƒ??5M),,,
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,8.6,4.37,2.03,0.08,1.79,0.47,2005,2000,46.5,1.8,41,10.8,Hit (1ƒ??5M),,,
Tom Clancy's The Division,PS4,Shooter,Ubisoft,7.3,4.37,1.49,0.16,2.04,0.69,2016,2010,34.1,3.7,46.7,15.8,Hit (1ƒ??5M),,,
Michael Jackson: The Experience,Wii,Misc,Ubisoft,5.6,4.37,2.64,0.01,1.33,0.39,2010,2010,60.4,0.2,30.4,8.9,Hit (1ƒ??5M),,,
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,7.3,4.36,1.29,0.36,2.06,0.64,2015,2010,29.6,8.3,47.2,14.7,Hit (1ƒ??5M),,,
Call of Duty: Advanced Warfare,X360,Shooter,Activision,9.1,4.34,2.81,0,1.13,0.41,2014,2010,64.7,0,26,9.4,Hit (1ƒ??5M),,,
Watch Dogs,PS4,Action-Adventure,Ubisoft,7.3,4.32,1.4,0.11,2.13,0.68,2014,2010,32.4,2.5,49.3,15.7,Hit (1ƒ??5M),,,
Asteroids,2600,Shooter,Atari,7.3,4.31,4,0,0.26,0.05,1981,1980,92.8,0,6,1.2,Hit (1ƒ??5M),,,
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,9,4.28,2.26,0.07,1.33,0.63,2009,2000,52.8,1.6,31.1,14.7,Hit (1ƒ??5M),,,
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,9.1,4.27,1.59,0.2,1.81,0.67,2014,2010,37.2,4.7,42.4,15.7,Hit (1ƒ??5M),,,
Namco Museum,GBA,Misc,Namco,7.3,4.24,3,0.05,1.11,0.07,2001,2000,70.8,1.2,26.2,1.7,Hit (1ƒ??5M),,,
Assassin's Creed: Revelations,PS3,Action,Ubisoft,8.8,4.23,1.41,0.1,2.03,0.69,2011,2010,33.3,2.4,48,16.3,Hit (1ƒ??5M),,,
Assassin's Creed: Revelations,X360,Action,Ubisoft,7.9,4.22,2.28,0.04,1.47,0.44,2011,2010,54,0.9,34.8,10.4,Hit (1ƒ??5M),,,
FIFA Soccer 06,PS2,Sports,EA Sports,8.4,4.21,0.78,0.04,2.55,0.84,2005,2000,18.5,1,60.6,20,Hit (1ƒ??5M),,,
Street Fighter IV,PS3,Fighting,Capcom,9.3,4.19,2.04,0.59,1.05,0.52,2009,2000,48.7,14.1,25.1,12.4,Hit (1ƒ??5M),,,
FIFA Soccer 12,X360,Sports,EA Sports,9.2,4.18,0.85,0.02,2.79,0.52,2011,2010,20.3,0.5,66.7,12.4,Hit (1ƒ??5M),,,
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,5.9,4.17,3.38,0.31,0.44,0.04,1989,1980,81.1,7.4,10.6,1,Hit (1ƒ??5M),,,
Call of Duty: Ghosts,PS4,Shooter,Activision,7.5,4.17,1.79,0.05,1.64,0.69,2013,2010,42.9,1.2,39.3,16.5,Hit (1ƒ??5M),,,
Frogger,PS,Action,Hasbro Interactive,7.3,4.16,3.79,0,0.27,0.11,1997,1990,91.1,0,6.5,2.6,Hit (1ƒ??5M),,,
FIFA 14,X360,Sports,EA Sports,7.3,4.15,0.94,0.01,2.92,0.29,2013,2010,22.7,0.2,70.4,7,Hit (1ƒ??5M),,,
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,6.9,4.15,2.49,0.02,1.26,0.38,2015,2010,60,0.5,30.4,9.2,Hit (1ƒ??5M),,,
Madden NFL 2003,PS2,Sports,EA Sports,9.4,4.14,3.36,0.01,0.21,0.56,2002,2000,81.2,0.2,5.1,13.5,Hit (1ƒ??5M),,,
